Common Name,Binomial Name,Genus,Species,Sub-Species,Kingdom Name,Nativeness,Book Category,seen wild locally,photo,uncertain,notes
Western Vervain,Verbena lasiostachys,Verbena,lasiostachys,,Plants,Local Native,Forbs,Yes,Untitled 3 33.png,No,
White Globe Lily,Calochortus albus,Calochortus,albus,,Plants,Local Native,Forbs,Yes,Untitled 3 34.png,No,
White Hawkweed,Hieracium albiflorum,Hieracium,albiflorum,,Plants,Local Native,Forbs,Yes,323232E9-DBCD-49D4-9B6C-C829D22499F6.JPG,No,
Wild Cucumber (California Manroot),Marah fabacea,Marah,fabacea,,Plants,Local Native,Forbs,Yes,Untitled 14 1.png,No,
Wiry Snapdragon,Sairocarpus vexillocalyculatus,Sairocarpus,vexillocalyculatus,,Plants,Local Native,Forbs,Yes,Untitled 2 8.png; Untitled 41.png,No,
Woodland Madia,Anisocarpus madioides,Anisocarpus,madioides,,Plants,Local Native,Forbs,Yes,,Yes,maybe confused with Common Madia
Woodland Strawberry,Fragaria vesca,Fragaria,vesca,,Plants,Local Native,Forbs,Yes,IMG_6102.HEIC,No,
Woodland Woollythreads,Monolopia gracilens,Monolopia,gracilens,,Plants,Local Native,Forbs,Yes,Untitled 42.png,No,
Yellow Clustered Broomrape,Aphyllon franciscanum,Aphyllon,franciscanum,,Plants,Local Native,Forbs,Yes,Untitled 43.png,No,
Yerba Buena,Clinopodium douglasii,Clinopodium,douglasii,,Plants,Local Native,Forbs,Yes,Untitled 44.png,No,
Zigzag Larkspur,Delphinium patens,Delphinium,patens,,Plants,Local Native,Forbs,Yes,17330E19-52FE-4749-900E-DE2F6376E856-1.JPG,No,
California Golden Chanterelle,Cantharellus californicus,Cantharellus,californicus,,Fungus,Local Native,Fungi,Yes,Untitled 45.png,No,
Coral Tooth Fungus,Hericium coralloides,Hericium,coralloides,,Fungus,Local Native,Fungi,Yes,Untitled 46.png,No,
Questionable Stropharia,Stropharia ambigua,Stropharia,ambigua,,Fungus,Local Native,Fungi,Yes,Untitled 3 35.png,No,
Turkey-Tail,Trametes versicolor,Trametes,versicolor,,Fungus,Local Native,Fungi,Yes,Untitled 47.png,No,
Western Black Elfin Saddle,Helvella vespertina,Helvella,vespertina,,Fungus,Local Native,Fungi,Yes,Untitled 48.png,Yes,
Blue Wildrye,Elymus glaucus,Elymus,glaucus,,Plants,Local Native,Grasses,Yes,,No,
California Fescue,Festuca californica,Festuca,californica,,Plants,Local Native,Grasses,Yes,2BC9BFEC-45B7-4881-A3CD-C175AED013EF.JPG,Yes,
California Melic,Melica californica,Melica,californica,,Plants,Local Native,Grasses,Yes,Untitled 49.png,Yes,
Compact Brome,Bromus madritensis,Bromus,madritensis,,Plants,Invasive,Grasses,Yes,B67EA2BF-A231-4DD0-9677-7351D78A55AA.JPG,No,
Foothill Needle Grass,Nassella lepida,Nassella,lepida,,Plants,Local Native,Grasses,Yes,Untitled 50.png,No,
Greater Quaking Grass,Briza maxima,Briza,maxima,,Plants,Invasive,Grasses,Yes,Untitled 3 36.png,No,
Red Brome,Bromus rubens,Bromus,rubens,,Plants,Invasive,Grasses,Yes,Untitled 3 37.png,No,
Spreading Rush,Juncus patens,Juncus,patens,,Plants,Local Native,Grasses,Yes,Untitled 3 38.png,No,
Toad Rush,Juncus bufonius,Juncus,bufonius,,Plants,Local Native,Grasses,Yes,Untitled 51.png,No,
Torrey's Melicgrass,Melica torreyana,Melica,torreyana,,Plants,Local Native,Grasses,Yes,Untitled 52.png,Yes,
Wall Barley,Hordeum murinum,Hordeum,murinum,,Plants,Introduced,Grasses,Yes,2303867F-D880-4161-94C0-EDBAA815E64E_1_105_c.jpeg,No,
Acmon Blue,Icaricia acmon,Icaricia,acmon,,Animals,Local Native,Insects,Yes,Untitled 2 9.png,No,
American Yellowjacket,Vespula alascensis,Vespula,alascensis,,Animals,Local Native,Insects,Yes,Untitled 3 39.png,No,
California Anglewing,Microcentrum californicum,Microcentrum,californicum,,Animals,Local Native,Insects,Yes,Untitled 53.png,No,
California Root Borer,Prionus californicus,Prionus,californicus,,Animals,Local Native,Insects,Yes,Untitled 54.png; Untitled-1 1.png,No,
California Sister,Adelpha californica,Adelpha,californica,,Animals,Local Native,Insects,Yes,6CEE5D2C-7FA1-4080-8DA7-32D061C5F505.JPG,No,
California Tortoiseshell,Nymphalis californica,Nymphalis,californica,,Animals,Local Native,Insects,Yes,Untitled 55.png,No,
Douglas Fir Pitch Moth,Synanthedon novaroensis,Synanthedon,novaroensis,,Animals,Local Native,Insects,Yes,Untitled 56.png,No,
Edwards' Glassy-wing Moth,Pseudohemihyalea edwardsii,Pseudohemihyalea,edwardsii,,Animals,Local Native,Insects,Yes,Untitled 57.png,No,
Goldenrod Crab Spider,Misumena vatia,Misumena,vatia,,Animals,Local Native,Insects,Yes,Untitled 58.png,Yes,
Northern Checkerspot,Chlosyne palla,Chlosyne,palla,,Animals,Local Native,Insects,Yes,Untitled 59.png; Untitled-1 2.png,No,
Ornate Checkered Beetle,Trichodes ornatus,Trichodes,ornatus,,Animals,Local Native,Insects,Yes,Untitled 3 40.png,No,
Pacific Spiketail,Zoraena dorsalis,Zoraena,dorsalis,,Animals,Local Native,Insects,Yes,Untitled 60.png,No,
Pictured Jerusalem Cricket,Ammopelmatus pictus,Ammopelmatus,pictus,,Animals,Local Native,Insects,Yes,Untitled 61.png,Yes,uncertain about name
Propertius duskywing,Erynnis propertius,Erynnis,propertius,,Animals,Local Native,Insects,Yes,IMG_6653.PNG,No,
Ten-lined June Beetle,Polyphylla decemlineata,Polyphylla,decemlineata,,Animals,Local Native,Insects,Yes,Untitled 3 41.png; Untitled 62.png,No,
Variable Checkerspot,Euphydryas chalcedona,Euphydryas,chalcedona,,Animals,Local Native,Insects,Yes,IMG_6184.HEIC; Untitled 63.png; Untitled 7 2.png,No,
White-lined Sphinx,Hyles lineata,Hyles,lineata,,Animals,Local Native,Insects,Yes,IMG_6050.PNG,No,
Yellow Douglas-fir Borer,Centrodera spurca,Centrodera,spurca,,Animals,Local Native,Insects,Yes,Untitled 3 42.png,No,
Bobcat,Lynx rufus,Lynx,rufus,,Animals,Local Native,Mammals,Yes,Untitled 3 43.png,No,
California Mouse,,,,,Animals,Local Native,Mammals,Yes,Untitled 64.png,Yes,
Gray Fox,Urocyon cinereoargenteus,Urocyon,cinereoargenteus,,Animals,Local Native,Mammals,Yes,Untitled 3 44.png,No,
Western Gray Squirrel,Sciurus griseus,Sciurus,griseus,,Animals,Local Native,Mammals,Yes,Untitled 65.png,No,
California Banana Slug,Ariolimax californicus,Ariolimax,californicus,,Animals,Local Native,Miscellaneous Animals,Yes,Untitled 3 45.png; Untitled 3-1 1.png,Yes,
